StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,sex,degree,grocery_1,boba
2024-04-22 14:41:48,2024-04-22 14:42:19,IP Address,132.161.163.194,100,30,True,2024-04-22 14:42:19,R_110WAMvCzu70Uza,,,,,41.7387,-92.7332,anonymous,EN,Male,STEM,40,The one on the right is named Boba
2024-04-22 14:41:46,2024-04-22 14:42:25,IP Address,132.161.243.25,100,38,True,2024-04-22 14:42:25,R_1pcg3om0dsXISS1,,,,,41.7387,-92.7332,anonymous,EN,Prefer not to say,Humanities,24,The one on the right is named Boba
2024-04-22 14:42:07,2024-04-22 14:42:27,IP Address,132.161.241.217,100,19,True,2024-04-22 14:42:27,R_5qdSEblDpgFLCe8,,,,,41.7387,-92.7332,anonymous,EN,Female,STEM,75,The one on the right is named Boba
2024-04-22 14:41:31,2024-04-22 14:42:31,IP Address,132.161.165.181,100,60,True,2024-04-22 14:42:32,R_224siUKTApNIQqZ,,,,,41.7387,-92.7332,anonymous,EN,Female,STEM,18,The one on the right is named Boba
2024-04-22 14:42:17,2024-04-22 14:42:45,IP Address,132.161.187.194,100,27,True,2024-04-22 14:42:45,R_7R8DNuGZbMNKcbq,,,,,41.7387,-92.7332,anonymous,EN,Male,Humanities,26,The one on the right is named Boba
2024-04-22 14:42:05,2024-04-22 14:42:47,IP Address,132.161.244.254,100,41,True,2024-04-22 14:42:47,R_5wDZqiwDxhTrybn,,,,,41.7387,-92.7332,anonymous,EN,Female,STEM,15,The one on the right is named Boba
2024-04-22 14:42:21,2024-04-22 14:42:50,IP Address,132.161.162.69,100,28,True,2024-04-22 14:42:50,R_2EjdXAvfM9fx4wM,,,,,41.7387,-92.7332,anonymous,EN,Female,STEM,12,The one on the right is named Boba
2024-04-22 14:42:20,2024-04-22 14:42:51,IP Address,132.161.187.174,100,31,True,2024-04-22 14:42:52,R_52bU1ioe3xAHNXS,,,,,41.7387,-92.7332,anonymous,EN,Female,STEM,30,The one on the right is named Boba
2024-04-22 14:42:08,2024-04-22 14:42:58,IP Address,132.161.162.112,100,49,True,2024-04-22 14:42:58,R_7s71FZnmb4bQFjJ,,,,,41.7387,-92.7332,anonymous,EN,Female,STEM,18,The one on the right is named Boba
2024-04-22 14:41:55,2024-04-22 14:43:03,IP Address,132.161.241.105,100,68,True,2024-04-22 14:43:04,R_7h1tDv9zIOMVbfX,,,,,41.7387,-92.7332,anonymous,EN,Female,STEM,30,The one on the right is named Boba
2024-04-22 14:42:42,2024-04-22 14:43:07,IP Address,132.161.245.38,100,24,True,2024-04-22 14:43:07,R_3483xSY3mOSLP4l,,,,,41.7387,-92.7332,anonymous,EN,Female,STEM,37,The one on the right is named Boba
2024-04-22 14:42:10,2024-04-22 14:43:15,IP Address,132.161.186.120,100,64,True,2024-04-22 14:43:16,R_32PV1J4D68KFYJj,,,,,41.7387,-92.7332,anonymous,EN,Female,Humanities,12,The one on the right is named Boba
2024-04-22 14:42:19,2024-04-22 14:43:25,IP Address,132.161.166.79,100,66,True,2024-04-22 14:43:26,R_3bGfC7AT9WB1iqB,,,,,41.7387,-92.7332,anonymous,EN,Female,Humanities,48,The one on the right is named Boba
2024-04-22 14:44:55,2024-04-22 14:45:16,IP Address,132.161.253.51,100,20,True,2024-04-22 14:45:16,R_7RvGpN5XV0zfoCQ,,,,,41.7387,-92.7332,anonymous,EN,Male,STEM,40,The one on the right is named Boba
2024-04-22 17:54:43,2024-04-22 17:55:24,IP Address,132.161.242.54,100,41,True,2024-04-22 17:55:25,R_234ochMWgJbhRwQ,,,,,41.7387,-92.7332,anonymous,EN,Female,STEM,20,The one on the right is named Boba
